,,Version : 3.1,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"Kunjungan Kapal Berdasarkan Lokasi Sandar, Jenis Pelayaran dan Jenis Muatan Kapal",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,,
,,1,2,,,,,3,4,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,DERMAGA UMUM,,,,,,,,,,,,,,,,,,,,
,,2,REDE TRANSPORT / LOADING POINT / DOLPHIN / PINGGIRAN,,,,,,,,,,,,,,,,,,,,
,,,1,Pelayaran Luar Negeri,,,,,,,,,,,,,,,,,,,
,,,,1,Kapal,,,,,,,,,,,,,,,,,,
,A020101010000,,,,1,General Cargo,,Call,,,,,,,,,,,,,0.00,,
,A020101010000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101020000,,,,2,Curah Cair BBM,,Call,,,,,,,,,,,,,0.00,,
,A020101020000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101030000,,,,3,Gas,,Call,,,,,,,,,,,,,0.00,,
,A020101030000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101040000,,,,4,Curah Cair Non - BBM,,Call,,,,,,,,,,,,,0.00,,
,A020101040000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101050000,,,,5,Curah Kering,,Call,,,,,,,,,,,,,0.00,,
,A020101050000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101060000,,,,6,Petikemas,,Call,,,,,,,,,,,,,0.00,,
,A020101060000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101070000,,,,7,Ro - ro,,Call,,,,,,,,,,,,,0.00,,
,A020101070000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101080000,,,,8,Tug Boat dan atau Tongkang,,Call,,,,,,,,,,,,,0.00,,
,A020101080000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020101090000,,,,9,Kapal Lainnya,,Call,,,,,,,,,,,,,0.00,,
,A020101090000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,,,2,Pelayaran Dalam Negeri,,,,,,,,,,,,,,,,,,,
,,,,1,Kapal,,,,,,,,,,,,,,,,,,
,A020201010000,,,,1,General Cargo,,Call,,,,,,,,,,,,,0.00,,
,A020201010000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201020000,,,,2,Curah Cair BBM,,Call,,,,,,,,,,,,,0.00,,
,A020201020000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201030000,,,,3,Gas,,Call,,,,,,,,,,,,,0.00,,
,A020201030000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201040000,,,,4,Curah Cair Non - BBM,,Call,,,,,,,,,,,,,0.00,,
,A020201040000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201050000,,,,5,Curah Kering,,Call,,,,,,,,,,,,,0.00,,
,A020201050000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201060000,,,,6,Petikemas,,Call,,,,,,,,,,,,,0.00,,
,A020201060000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201070000,,,,7,Ro - ro,,Call,,,,,,,,,,,,,0.00,,
,A020201070000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201080000,,,,8,Tug Boat dan atau Tongkang,,Call,,,,,,,,,,,,,0.00,,
,A020201080000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A020201090000,,,,9,Kapal Lainnya,,Call,,,,,,,,,,,,,0.00,,
,A020201090000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Jumlah kunjungan kapal di REDE TRANSPORT / LOADING POINT / DOLPHIN / PINGGIRAN,,,,,Call,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,,,GT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
