,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,403.02.03.00.00.00.00.00.00,,3,Lapangan Penumpukan Diusahakan,,,,Ton Hari,,,,,,,,,,,,,0.00
,403.02.04.00.00.00.00.00.00,,4,Penyimpanan (Silo),,,,Ton,,,,,,,,,,,,,0.00
,,,5,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
,403.02.05.01.01.00.00.00.00,,,,1,Stevedoring,,Ton,"81,365.80","133,944.48","95,249.00","69,841.00","129,883.00",,,,,,,,"510,283.28"
,403.02.05.01.01.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.02.05.01.02.00.00.00.00,,,,2,Cargodoring,,Ton,,"37,473.00",758.00,"29,311.00","5,402.00",,,,,,,,"72,944.00"
,403.02.05.01.02.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.02.05.01.03.00.00.00.00,,,,3,Receiving/Delivery,,Ton,,,,,,,,,,,,,0.00
,403.02.05.01.03.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.02.05.02.00.00.00.00.00,,,2,Kerjasama Pelayanan B/M,,,Ton,"154,139.80","299,097.48","178,024.00","148,540.13","262,360.00",,,,,,,,"1,042,161.41"
,403.02.05.02.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,5,PELAYANAN BARANG NON PETIKEMAS CURAH CAIR,,,,,,,,,,,,,,,,,,
,403.03.01.00.00.00.00.00.00,,1,Dermaga,,,,Ton,"47,050.00","26,829.00","50,794.00","41,256.00","45,889.00",,,,,,,,"211,818.00"
,403.03.02.00.00.00.00.00.00,,2,Penyimpanan (Tank Storage),,,,Ton,,,,,,,,,,,,,0.00
,,,3,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
,403.03.03.01.01.00.00.00.00,,,,1,Stevedoring,,Ton,"47,050.00","26,829.00","50,794.00","41,256.00","45,889.00",,,,,,,,"211,818.00"
,403.03.03.01.02.00.00.00.00,,,,2,Cargodoring,,Ton,,,,,,,,,,,,,0.00
,403.03.03.01.03.00.00.00.00,,,,3,Receiving/Delivery,,Ton,,,,,,,,,,,,,0.00
,403.03.03.02.00.00.00.00.00,,,2,Kerjasama Pelayanan B/M,,,Ton,"47,050.00","26,829.00","50,794.00","41,256.00","45,889.00",,,,,,,,"211,818.00"
,403.03.03.03.00.00.00.00.00,,,3,Kerjasama Pengangkutan,,,Ton,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,6,PELAYANAN BARANG NON PETIKEMAS GAS,,,,,,,,,,,,,,,,,,
,403.04.01.00.00.00.00.00.00,,1,Dermaga,,,,MMBTU,,,,,,,,,,,,,0.00
,403.04.01.00.00.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,403.04.02.00.00.00.00.00.00,,2,Penyimpanan (Pipa),,,,MMBTU,,,,,,,,,,,,,0.00
,403.04.02.00.00.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,,,3,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
,403.04.03.01.01.00.00.00.00,,,,1,Stevedoring,,MMBTU,,,,,,,,,,,,,0.00
,403.04.03.01.01.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,403.04.03.01.02.00.00.00.00,,,,2,Cargodoring,,MMBTU,,,,,,,,,,,,,0.00
,403.04.03.01.02.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,403.04.03.01.03.00.00.00.00,,,,3,Receiving/Delivery,,MMBTU,,,,,,,,,,,,,0.00
,403.04.03.01.03.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,403.04.03.02.00.00.00.00.00,,,2,Kerjasama Pelayanan B/M,,,MMBTU,,,,,,,,,,,,,0.00
,403.04.03.02.00.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,7,PELAYANAN BARANG NON PETIKEMAS CAR TERMINAL,,,,,,,,,,,,,,,,,,
,403.05.01.00.00.00.00.00.00,,1,Dermaga,,,,Unit,,,,,,,,,,,,,0.00
,403.05.02.00.00.00.00.00.00,,2,Lapangan Penumpukan,,,,Unit Hari,,,,,,,,,,,,,0.00
,,,3,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
